Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5981577,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
5981864,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
5982139,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
5982303,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6019963,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6029870,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6039996,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6049959,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6081669,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6081838,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6082114,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6082390,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6120076,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6129984,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6140054,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6150070,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6181679,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6181848,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6182125,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6182400,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6220184,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6230056,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6240158,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6250111,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6281657,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6281945,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6282221,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6282496,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6320320,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6330225,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6340177,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6350203,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6381584,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6381863,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6382022,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6382296,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6420278,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6430313,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6440382,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6450485,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6481622,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6481789,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6482066,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6482342,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6520528,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6530362,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6540433,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6550450,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6581615,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6581900,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6582059,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6582336,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6620550,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6630456,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6640522,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6650544,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6681563,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6681839,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6682007,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6682283,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6720686,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6730640,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6740587,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6750615,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6786986,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6787262,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6787421,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6787699,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6820701,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6830664,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6840739,00000102,false,Rx,0,8,02,9A,01,00,00,C8,49,00,
6850762,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6881507,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6881796,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6882072,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6882231,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
6920841,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
6930752,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
6940805,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
6950943,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
6981620,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
6981907,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
6982183,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
6982458,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7020964,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7030848,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7040899,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
7050931,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7081698,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7081869,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7082144,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7082420,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7121052,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7131019,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7140938,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
7151008,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
7181622,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
7181908,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
7182184,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
7182343,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
7221058,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
7231046,00000101,false,Rx,0,8,00,FF,3C,00,00,DE,00,00,
7241097,00000102,false,Rx,0,8,02,9A,01,00,00,C9,49,00,
